Data,Produto,Quantidade,Valor_Unitario
2022-01-18,Camiseta Básica,13.0,113.0
2022-06-14,Vestido Longo,,149.0
2022-03-20,Saia de Couro,60.0,292.0
2022-12-17,Calça Jeans,72.0,
2022-10-08,Bermuda,42.0,256.0
2022-01-11,Cinto,85.0,205.0
2022-12-18,Anel,,80.0
2022-07-07,Colete,4.0,195.0
2022-10-30,Blusa de Crochê,70.0,
2022-06-10,Cardigan,69.0,214.0
2022-03-09,Relógio,93.0,300.0
2022-11-28,Blusa Manga Longa,23.0,428.0
2022-03-23,Camiseta Básica,87.0,
2022-09-03,Camisa Social,45.0,448.0
2022-06-09,Sapato,79.0,
2022-03-17,Colar,,
2022-11-18,Calça Legging,43.0,466.0
2022-02-28,Camiseta Básica,,315.0
2022-12-20,Macacão Longo,,342.0
2022-04-21,Meia,,360.0
2022-09-20,Blusa de Crochê,,475.0
2022-12-30,Vestido Rodado,75.0,
2022-08-31,Vestido Godê,55.0,386.0
2022-01-04,Sapatênis,84.0,51.0
2022-10-03,Camiseta Manga Longa,41.0,287.0
2022-09-16,Brinco,78.0,
2022-09-04,Sapatênis,,362.0
2022-04-17,Top,,159.0
2022-09-12,Calça Jeans,,
2022-08-31,Blusa de Crochê,67.0,
2022-09-19,Sandália de Salto,82.0,
2022-08-02,Vestido de Festa,44.0,247.0
2023-01-01,Sandália de Salto,76.0,56.0
2022-06-12,Camisa,,232.0
2022-03-05,Camisa Listrada,59.0,396.0
2022-12-29,Botas,,
2022-03-13,Blusa de Crochê,68.0,
2022-11-26,Camisa Listrada,17.0,
2022-06-19,Camisa Listrada,,200.0
2022-05-25,Camiseta Estampada,,374.0
2022-10-06,Sandalia,7.0,342.0
2022-07-21,Top,84.0,407.0
2022-07-27,Pulseira,,
2022-12-28,Cueca,52.0,485.0
2022-02-01,Blusa de Tricot,40.0,62.0
2022-06-17,Blusa de Alça,16.0,405.0
2022-07-26,Blusa de Crochê,39.0,212.0
2022-09-23,Blusa Ciganinha,,78.0
2022-03-19,Pulseira,,380.0
2022-07-28,Camiseta Básica,,184.0
2022-08-29,Vestido Tubinho,4.0,140.0
2022-06-27,Jaqueta,40.0,236.0
2022-01-30,Moletom,,303.0
2022-01-18,Blusa Cropped,88.0,144.0
2022-08-15,Camisa Xadrez,59.0,142.0
2022-01-26,Camisa,54.0,
2022-11-06,Saia Longa,,221.0
2022-08-08,Vestido com Fenda,,171.0
2022-07-08,Colete,60.0,120.0
2022-10-26,Sutiã,,
2022-10-06,Blusa de Frio,,261.0
2022-05-06,Meia,38.0,473.0
2022-10-21,Shorts,82.0,277.0
2022-05-06,Camiseta Básica,20.0,472.0
2022-11-28,Vestido Chemise,,390.0
2022-06-11,Vestido Tubinho,92.0,325.0
2022-07-25,Camisa Jeans,67.0,500.0
2022-09-05,Top,34.0,245.0
2022-11-06,Vestido Godê,63.0,243.0
2022-12-04,Top,64.0,52.0
2022-07-29,Tênis,57.0,178.0
2022-10-15,Blusa de Tricot,83.0,289.0
2022-04-15,Blusa de Alça,34.0,249.0
2022-10-18,Blazer,,405.0
2022-08-05,Sapato,10.0,383.0
2022-02-14,Mochila,84.0,410.0
2022-10-14,Vestido,68.0,
2022-01-11,Bermuda,29.0,197.0
2022-07-28,Shorts,50.0,93.0
2022-06-03,Boné,46.0,284.0
2022-12-13,Vestido com Fenda,75.0,431.0
2022-02-01,Blusa Cropped,33.0,308.0
2022-10-08,Mochila,,80.0
2022-06-19,Saia Midi,72.0,58.0
2022-07-10,Camisa Manga 3/4,3.0,
2022-10-28,Camiseta,10.0,
2022-10-25,Saia Midi,47.0,147.0
2022-07-05,Colar,63.0,62.0
2022-09-23,Vestido com Fenda,,
2022-09-15,Camisa Xadrez,79.0,360.0
2022-09-24,Terno,,341.0
2022-01-23,Mochila,,163.0
2022-07-12,Saia Jeans,4.0,
2022-10-16,Bermuda,,181.0
2022-07-21,Macacão,,491.0
2022-03-31,Blusa Manga Longa,,190.0
2022-07-29,Camisa Xadrez,36.0,
2022-06-15,Regata,67.0,160.0
2022-08-16,Camisa Manga 3/4,45.0,
2022-01-27,Vestido,,230.0
2022-08-06,Sandalia,27.0,105.0
2022-01-02,Cardigan,,
2022-08-09,Calça,7.0,464.0
2022-01-15,Anel,61.0,202.0
2022-08-25,Vestido Tomara que Caia,,
2022-12-01,Blusa Ciganinha,9.0,187.0
2022-02-18,Sandalia,,422.0
2022-03-15,Blusa de Crochê,,72.0
2022-08-08,Short Saia,69.0,292.0
2022-04-19,Terno,76.0,
2022-09-24,Brinco,59.0,358.0
2022-10-18,Macacão Curto,,315.0
2022-02-01,Vestido Rodado,9.0,435.0
2022-02-26,Calça Jeans,,87.0
2022-06-27,Lenço,21.0,457.0
2022-04-26,Camisa Polo,,276.0
2022-11-20,Camiseta,65.0,325.0
2022-09-14,Gravata,,127.0
2022-05-30,Gravata,,168.0
2022-12-28,Macacão Longo,44.0,441.0
2022-06-23,Vestido com Fenda,36.0,91.0
2022-04-02,Saia Longa,94.0,404.0
2022-05-17,Blusa de Tule,21.0,247.0
2022-04-17,Camisa Manga Curta,85.0,
2022-06-15,Vestido Chemise,41.0,55.0
2022-12-18,Meia,21.0,
2022-12-14,Vestido com Fenda,98.0,
2022-02-08,Vestido Rodado,59.0,160.0
2022-02-16,Gravata,,132.0
2022-05-16,Gravata,50.0,
2022-02-14,Cardigan,22.0,
2022-10-30,Blusa Ciganinha,97.0,91.0
2022-05-13,Vestido,25.0,83.0
2022-07-07,Suéter,25.0,485.0
2022-08-29,Blusa Ciganinha,5.0,
2022-05-14,Bolsa,,159.0
2022-07-13,Shorts,77.0,194.0
2022-02-28,Cinto,6.0,347.0
2022-11-09,Camisa Listrada,84.0,
2022-07-30,Chinelo,,
2022-01-15,Relógio,,355.0
2022-03-20,Terno,33.0,362.0
2022-06-09,Saia,59.0,67.0
2022-02-26,Vestido Rodado,,309.0
2022-06-14,Macacão Longo,40.0,
2022-05-15,Sandália Rasteira,69.0,491.0
2022-12-16,Blusa Ciganinha,,
2022-06-28,Camiseta Estampada,84.0,55.0
2022-09-18,Calça,75.0,259.0
2022-02-03,Luvas,53.0,213.0
2022-05-21,Bermuda,,445.0
2022-07-29,Botas,40.0,69.0
2022-04-07,Vestido Curto,37.0,
2022-11-08,Jaqueta,63.0,428.0
2022-06-20,Camiseta Manga Longa,,118.0
2022-07-10,Camiseta Básica,5.0,376.0
2022-02-02,Shorts,29.0,393.0
2022-07-27,Gravata,,
2022-05-18,Sapato Social,86.0,
2022-02-02,Sapato Social,,454.0
2022-12-27,Luvas,70.0,89.0
2022-06-30,Camisa Xadrez,43.0,
2022-09-20,Brinco,,484.0
2022-08-22,Calça Legging,58.0,82.0
2022-02-21,Blusa de Renda,32.0,403.0
2022-02-13,Cachecol,34.0,180.0
2022-09-05,Camisa Social,1.0,187.0
2022-04-14,Bermuda,94.0,481.0
2022-06-24,Jaqueta de Couro,30.0,
2022-11-19,Short Saia,91.0,494.0
2022-09-21,Colar,83.0,164.0
2022-03-29,Regata Cavada,98.0,88.0
2022-12-21,Vestido Ciganinha,99.0,54.0
2022-09-19,Colar,18.0,365.0
2022-12-21,Vestido Chemise,52.0,
2022-10-05,Camisa,4.0,415.0
2022-03-10,Vestido,22.0,190.0
2022-04-30,Shorts,,
2022-11-28,Camisa Manga Curta,71.0,
2022-03-27,Saia Jeans,6.0,440.0
2022-11-07,Sapatilha,19.0,474.0
2022-09-28,Camisa Polo,,75.0
2022-04-04,Mochila,,
2022-10-16,Camisa,,316.0
2022-03-21,Cinto,76.0,99.0
2022-08-10,Camisa,98.0,
2022-04-02,Cueca,43.0,75.0
2022-08-25,Suéter,,433.0
2022-07-07,Sapato de Salto,,52.0
2022-02-18,Blusa de Tule,57.0,482.0
2022-06-29,Blusa de Tricot,11.0,56.0
2022-03-13,Bolsa,25.0,498.0
2022-11-19,Short Saia,96.0,
2022-06-11,Bermuda,33.0,385.0
2022-06-18,Colete,43.0,421.0
2022-07-09,Colar,,443.0
2022-09-12,Body,11.0,372.0
2022-03-30,Meia,76.0,337.0
2022-04-26,Cachecol,24.0,211.0
2022-08-11,Saia de Couro,82.0,469.0
2022-12-15,Calça,,225.0
2022-06-06,Relógio,,274.0
2022-01-24,Lenço,71.0,
2022-01-23,Sutiã,29.0,119.0
2022-07-24,Camisa Xadrez,,233.0
2022-07-01,Saia Jeans,,184.0
2022-02-08,Jaqueta de Couro,46.0,119.0
2022-03-27,Shorts,89.0,331.0
2022-11-06,Vestido Longuete,,330.0
2022-05-30,Vestido Tomara que Caia,10.0,410.0
2022-06-08,Camiseta Estampada,86.0,364.0
2022-06-24,Botas,,
2022-11-19,Camiseta Básica,52.0,405.0
2022-02-05,Short Saia,,
2022-09-08,Body,25.0,
2022-12-21,Camiseta Estampada,,247.0
2022-10-26,Vestido Tubinho,80.0,111.0
2022-02-03,Colete,24.0,105.0
2022-05-30,Calça Social,,258.0
2022-10-02,Vestido Ciganinha,,
2022-12-06,Casaco,,232.0
2022-06-02,Colar,40.0,253.0
2022-10-23,Colar,8.0,391.0
2022-08-06,Regata,79.0,219.0
2022-03-28,Vestido,45.0,212.0
2022-06-16,Sapatilha,,366.0
2022-12-26,Camisa,,216.0
2022-08-31,Anel,37.0,67.0
2022-03-17,Calça Legging,1.0,
2022-06-11,Camisa Xadrez,8.0,332.0
2022-03-01,Blusa Manga Longa,73.0,268.0
2022-08-06,Sapato,33.0,206.0
2022-01-26,Vestido Curto,97.0,284.0
2022-05-24,Botas,,
2022-08-28,Short Saia,9.0,269.0
2022-02-25,Camiseta Básica,,
2022-12-18,Macacão Longo,,272.0
2022-05-10,Vestido Tubinho,19.0,
2022-04-13,Colete,,441.0
2022-09-03,Calça Social,90.0,256.0
2022-03-10,Sapato de Salto,79.0,
2022-12-17,Vestido Longuete,80.0,282.0
2022-04-28,Jaqueta,91.0,178.0
2022-06-14,Vestido Ciganinha,28.0,
2022-04-08,Camisa Polo,,276.0
2022-06-06,Gravata,15.0,
2022-01-05,Saia Plissada,,163.0
2022-12-17,Sandália de Salto,,
2022-11-19,Vestido Curto,,361.0
2022-12-14,Colar,67.0,469.0
2022-05-22,Sapatênis,13.0,325.0
2022-12-21,Vestido,81.0,
2022-11-10,Camiseta Manga Longa,,75.0
2022-04-14,Vestido com Fenda,67.0,
2022-06-07,Vestido Transpassado,,
2022-08-01,Blusa,85.0,71.0
2022-06-19,Vestido de Festa,22.0,176.0
2022-11-09,Blazer,,
2022-11-23,Sapato,76.0,391.0
2022-11-19,Camisa Polo,68.0,240.0
2022-02-04,Calça Social,64.0,240.0
2022-04-12,Botas,30.0,367.0
2022-01-29,Camisa Polo,3.0,233.0
2022-08-18,Camisa Jeans,,246.0
2022-06-08,Bermuda,80.0,479.0
2022-09-21,Vestido Midi,10.0,
2022-10-21,Top,,376.0
2022-04-26,Bolsa,89.0,222.0
2022-08-24,Moletom,12.0,
2022-07-29,Camisa Jeans,,52.0
2022-07-23,Calça Legging,98.0,490.0
2022-12-29,Calça Legging,9.0,
2022-08-13,Camiseta,,
2022-02-24,Blusa Cropped,,453.0
2022-09-16,Vestido,27.0,396.0
2022-08-12,Vestido com Fenda,,
2022-05-16,Camisa Manga Curta,89.0,90.0
2022-03-13,Saia,100.0,117.0
2022-06-03,Macacão,,438.0
2022-07-31,Camisa Manga 3/4,6.0,65.0
2022-11-23,Terno,81.0,350.0
2022-04-05,Regata,7.0,380.0
2022-05-16,Blusa de Tricot,27.0,256.0
2022-06-01,Regata,6.0,255.0
2022-03-02,Botas,14.0,91.0
2022-09-30,Blusa de Alça,,251.0
2022-06-18,Luvas,,131.0
2022-06-11,Camiseta Básica,65.0,56.0
2022-07-07,Saia Jeans,,156.0
2022-02-20,Vestido de Festa,,54.0
2022-10-30,Meia,97.0,113.0
2022-04-11,Camisa Listrada,7.0,158.0
2022-11-09,Blusa,,202.0
2022-06-18,Meia,92.0,91.0
2022-01-19,Terno,,451.0
2022-07-06,Vestido com Fenda,100.0,87.0
2022-04-18,Bolsa,69.0,58.0
2022-07-04,Gravata,26.0,124.0
2022-02-16,Macacão Curto,,193.0
2022-02-15,Shorts,,310.0
2022-08-31,Vestido Curto,84.0,
2022-04-14,Calça Legging,86.0,61.0
2022-10-05,Terno,15.0,445.0
2022-06-17,Sandália Rasteira,24.0,426.0
2022-10-11,Jaqueta de Couro,32.0,361.0
2022-03-20,Camisa Polo,91.0,225.0
2022-04-13,Calça Legging,2.0,197.0
2022-05-10,Vestido Chemise,70.0,266.0
2022-08-19,Sapato,68.0,152.0
2022-10-03,Blusa Cropped,44.0,
2022-11-16,Jaqueta,92.0,
2022-12-17,Vestido Midi,99.0,307.0
2022-10-14,Terno,,205.0
2022-01-02,Camisa Manga 3/4,37.0,407.0
2022-01-31,Camiseta Manga Longa,,180.0
2022-02-01,Lenço,96.0,465.0
2022-08-20,Cueca,16.0,485.0
2022-06-30,Calça Legging,,333.0
2022-07-08,Regata Cavada,,457.0
2022-01-27,Calça Legging,,
2022-08-17,Vestido Rodado,56.0,241.0
2022-01-07,Sapatilha,36.0,307.0
2022-04-03,Blazer,11.0,429.0
2022-10-25,Pulseira,41.0,176.0
2022-11-03,Macacão Curto,,
2022-02-17,Anel,,345.0
2022-01-08,Vestido Transpassado,68.0,106.0
2022-06-28,Vestido Tubinho,19.0,
2022-04-16,Jaqueta Jeans,64.0,135.0
2022-04-24,Camisa Listrada,91.0,343.0
2022-01-03,Sapato,20.0,111.0
2022-08-08,Meia,84.0,209.0
2022-12-26,Blusa de Crochê,,118.0
2022-08-27,Cachecol,,
2022-12-13,Vestido Chemise,22.0,200.0
2022-07-20,Camisa Social,77.0,374.0
2022-11-08,Casaco,3.0,
2022-10-05,Sandália Rasteira,,
2022-08-27,Meia,40.0,237.0
2022-07-09,Meia,50.0,293.0
2022-07-10,Suéter,80.0,129.0
2022-07-08,Vestido Transpassado,38.0,474.0
2022-07-15,Mochila,11.0,207.0
2022-02-03,Cardigan,23.0,372.0
2022-09-24,Vestido Tubinho,45.0,318.0
2022-04-02,Cachecol,,269.0
2022-08-24,Jaqueta de Couro,63.0,184.0
2022-03-23,Colar,,165.0
2022-01-28,Vestido Longo,,80.0
2022-08-08,Anel,36.0,433.0
2022-09-02,Vestido Chemise,,148.0
2022-12-26,Jaqueta de Couro,83.0,375.0
2022-03-11,Mochila,,53.0
2022-03-30,Jaqueta,54.0,109.0
2022-06-01,Sutiã,35.0,
2022-11-30,Vestido Rodado,,135.0
2022-01-13,Colar,,
2022-11-08,Blusa Cropped,,310.0
2022-02-18,Sandalia,82.0,460.0
2022-03-04,Calça Jeans,100.0,
2022-07-15,Blusa de Renda,8.0,220.0
2022-11-23,Sandalia,26.0,
2022-03-01,Short Saia,48.0,474.0
2022-02-25,Blusa de Frio,48.0,
2022-05-18,Camisa Listrada,34.0,264.0
2022-08-23,Vestido com Fenda,61.0,280.0
2022-07-27,Blusa,,477.0
2022-11-02,Luvas,80.0,291.0
2022-10-19,Regata,94.0,
2022-07-17,Camiseta Estampada,70.0,
2022-05-18,Camiseta Manga Longa,54.0,
2022-02-21,Short Saia,74.0,
2022-06-13,Vestido Godê,79.0,
2022-01-01,Shorts,84.0,
2022-06-07,Chinelo,88.0,131.0
2022-08-07,Colete,50.0,
2022-01-23,Vestido Rodado,,339.0
2022-05-26,Sapatilha,,187.0
2022-07-16,Vestido Tubinho,,114.0
2022-09-15,Blusa de Crochê,20.0,
2022-07-30,Vestido Ciganinha,14.0,
2022-03-12,Body,73.0,172.0
2022-05-12,Camisa Polo,13.0,380.0
2022-06-14,Camisa Social,45.0,265.0
2022-06-02,Camiseta Básica,,318.0
2022-11-24,Moletom,36.0,262.0
2022-11-12,Blazer,26.0,400.0
2022-11-02,Lenço,48.0,
2022-03-25,Sandalia,93.0,297.0
2022-05-05,Pulseira,14.0,386.0
2022-07-23,Relógio,,211.0
2022-02-20,Meia,,157.0
2022-08-04,Brinco,,210.0
2022-11-11,Casaco,,
2022-07-13,Blusa de Frio,29.0,388.0
2022-11-19,Blusa de Tule,71.0,
2022-06-05,Sapatênis,,331.0
2022-07-01,Óculos,99.0,
2022-09-08,Camisa,5.0,72.0
2022-02-07,Macacão,85.0,
2022-03-21,Bermuda,89.0,172.0
2022-03-05,Jaqueta de Couro,83.0,389.0
2022-03-22,Brinco,,78.0
2022-12-30,Camisa,,264.0
2022-09-01,Macacão Longo,,180.0
2022-02-25,Blusa de Tule,50.0,
2022-02-02,Macacão,,
2022-08-07,Calça,94.0,289.0
2022-09-18,Cachecol,,
2022-02-14,Vestido Chemise,38.0,
2022-04-19,Camisa Social,45.0,185.0
2022-01-28,Camiseta,1.0,83.0
2022-04-12,Blusa de Crochê,,134.0
2022-03-26,Vestido com Fenda,42.0,289.0
2022-10-29,Blazer,28.0,434.0
2022-01-02,Anel,,64.0
2022-10-18,Sapatilha,55.0,53.0
2022-04-22,Shorts,,
2022-08-02,Vestido Chemise,60.0,127.0
2022-12-26,Jaqueta,95.0,320.0
2022-11-18,Vestido Rodado,66.0,98.0
2022-05-01,Vestido Rodado,,74.0
2022-04-30,Anel,52.0,339.0
2022-01-18,Vestido Longo,73.0,
2022-03-14,Terno,,
2022-07-17,Camiseta,6.0,436.0
2022-02-05,Lenço,90.0,
2022-10-08,Blusa Cropped,5.0,184.0
2022-11-20,Cinto,66.0,131.0
2022-11-07,Vestido Longuete,64.0,394.0
2022-12-30,Vestido Ciganinha,28.0,52.0
2022-01-21,Blusa de Tricot,,
2022-03-18,Regata Cavada,72.0,
2022-02-08,Vestido Longo,48.0,203.0
2022-01-06,Mochila,,
2022-03-11,Moletom,38.0,301.0
2022-09-15,Camiseta Básica,9.0,292.0
2022-09-21,Calça,66.0,197.0
2022-08-05,Vestido Rodado,4.0,450.0
2022-06-14,Sandália de Salto,,53.0
2022-07-08,Top,48.0,272.0
2022-06-11,Saia Jeans,88.0,65.0
2022-11-13,Sapatilha,58.0,445.0
2022-09-29,Terno,57.0,336.0
2022-03-26,Colar,,
2022-02-28,Vestido Ciganinha,59.0,316.0
2022-04-21,Camisa Social,,403.0
2022-12-05,Top,70.0,177.0
2022-05-09,Cardigan,27.0,353.0
2022-10-05,Meia,89.0,
2022-12-08,Óculos,49.0,379.0
2022-04-06,Sapatênis,17.0,
2022-05-15,Camiseta,18.0,119.0
2022-11-06,Blusa Ciganinha,36.0,242.0
2022-04-30,Bolsa,93.0,172.0
2022-03-16,Cardigan,56.0,487.0
2022-06-04,Vestido Godê,83.0,
2022-10-22,Blusa Manga Longa,41.0,291.0
2022-02-17,Saia de Couro,,377.0
2022-11-11,Camisa Jeans,20.0,351.0
2022-03-01,Vestido Godê,86.0,418.0
2022-03-31,Cinto,,310.0
2022-12-10,Gravata,8.0,
2022-02-04,Chinelo,,405.0
2022-08-31,Bermuda,53.0,414.0
2022-10-14,Sapatênis,7.0,227.0
2022-09-22,Sutiã,,93.0
2022-05-15,Chinelo,,211.0
2022-07-19,Vestido Longuete,89.0,
2022-08-05,Saia Midi,64.0,222.0
2022-11-06,Cueca,,447.0
2022-08-10,Boné,,326.0
2022-01-27,Tênis,85.0,70.0
2022-01-01,Calça Jeans,17.0,250.0
2022-07-26,Saia Midi,,244.0
2022-08-04,Vestido Midi,36.0,222.0
2022-07-17,Cueca,,
2022-11-11,Casaco,89.0,408.0
2022-06-27,Moletom,55.0,90.0
2022-05-14,Camisa Jeans,39.0,420.0
2022-06-19,Cueca,65.0,252.0
2022-07-27,Camisa Listrada,,
2022-04-10,Colete,13.0,103.0
2022-06-18,Vestido Midi,90.0,221.0
2022-12-16,Shorts,98.0,
2022-07-07,Sandalia,37.0,
2022-01-05,Camiseta Estampada,60.0,
2022-08-09,Macacão,71.0,424.0
2022-07-13,Calça Legging,89.0,144.0
2022-03-16,Moletom,,
2022-07-20,Meia,43.0,
2022-07-04,Vestido com Fenda,65.0,52.0
2022-03-26,Vestido Longo,91.0,106.0
2022-01-01,Blusa de Renda,63.0,
2022-08-26,Óculos,64.0,
2022-09-19,Mochila,87.0,59.0
2022-04-11,Blusa de Alça,42.0,
2022-04-18,Camisa Polo,,
2022-04-26,Calça Jeans,65.0,
2022-04-22,Blazer,77.0,184.0
2022-03-07,Vestido Rodado,,157.0
2022-11-07,Camisa,20.0,194.0
2022-06-10,Jaqueta de Couro,,396.0
2022-11-01,Blazer,,443.0
2022-05-04,Brinco,8.0,452.0
2022-06-07,Brinco,82.0,279.0
2022-07-15,Camisa Manga Curta,52.0,318.0
2022-12-03,Top,40.0,176.0
2022-05-16,Calça Legging,,123.0
2022-09-12,Blusa de Tule,39.0,140.0
2022-01-19,Blusa de Tule,,332.0
2022-10-04,Blusa de Renda,82.0,
2022-02-27,Camisa,,
2022-07-30,Pulseira,59.0,489.0
2022-02-09,Botas,22.0,316.0
2022-07-29,Vestido com Fenda,76.0,139.0
2022-08-19,Saia,,435.0
2022-11-02,Top,20.0,394.0
2022-01-11,Sapato,,
2022-08-19,Camiseta Estampada,,470.0
2022-12-16,Sapato,,
2022-10-30,Jaqueta,31.0,315.0
2022-12-08,Saia Longa,46.0,248.0
2022-09-05,Moletom,,318.0
